Date,MaxT F,MaxT C,MinT F,MinT C,GDD C,Accumulation,Days,
8/23/2020,86.3,30.2,60.9,16.1,13.1,978.6,125,
8/24/2020,87.4,30.8,60.1,15.6,13.2,991.8,126,
8/25/2020,85.5,29.7,63.6,17.6,13.6,1005.4,127,
8/26/2020,88.8,31.6,62.9,17.2,14.4,1019.8,128,
8/27/2020,91.3,32.9,64.3,17.9,15.4,1035.2,129,
8/28/2020,85.3,29.6,65.2,18.4,14,1049.2,130,
8/29/2020,74.8,23.8,54.6,12.6,8.2,1057.4,131,
8/30/2020,73.8,23.2,45.7,7.6,5.4,1062.8,132,
8/31/2020,72.2,22.3,48.5,9.2,5.8,1068.6,133,
9/1/2020,71.7,22.1,43.6,6.4,4.3,1072.8,134,
9/2/2020,78.8,26,52.1,11.2,8.6,1081.4,135,
9/3/2020,74.3,23.5,47.6,8.7,6.1,1087.5,136,
9/4/2020,74.6,23.7,45.5,7.5,5.6,1093.1,137,
9/5/2020,75.1,23.9,48.6,9.2,6.6,1099.7,138,
9/6/2020,77.3,25.2,49.2,9.6,7.4,1107,139,
9/7/2020,70.2,21.2,51.4,10.8,6,1113,140,
9/8/2020,52.7,11.5,46.4,8,-0.3,1112.8,141,
9/9/2020,49.5,9.7,44.4,6.9,-1.7,1111.1,142,
9/10/2020,51.7,10.9,44.4,6.9,-1.1,1110,143,
9/11/2020,59.9,15.5,49.3,9.6,2.6,1112.6,144,
9/12/2020,68.1,20.1,55.8,13.2,6.6,1119.2,145,
9/13/2020,71.5,21.9,49,9.4,5.7,1124.9,146,
9/14/2020,71,21.7,46.9,8.3,5,1129.9,147,
9/15/2020,77.7,25.4,52.3,11.3,8.3,1138.2,148,
9/16/2020,74.1,23.4,52.3,11.3,7.3,1145.5,149,
9/17/2020,65.8,18.8,41.3,5.2,2,1147.5,150,
9/18/2020,61.8,16.6,35.9,2.2,-0.6,1146.9,151,
9/19/2020,64.9,18.3,32.1,0.1,-0.8,1146,152,
9/20/2020,69.2,20.7,38.4,3.6,2.1,1148.1,153,
9/21/2020,72.6,22.6,41.2,5.1,3.8,1152,154,
9/22/2020,78.9,26.1,49.4,9.7,7.9,1159.8,155,
9/23/2020,78.1,25.6,47.2,8.4,7,1166.9,156,
9/24/2020,74.4,23.6,46.4,8,5.8,1172.6,157,
9/25/2020,77.7,25.4,53.2,11.8,8.6,1181.2,158,
9/26/2020,74.9,23.8,59.8,15.4,9.6,1190.9,159,
9/27/2020,72.7,22.6,51.6,10.9,6.8,1197.6,160,
9/28/2020,58.1,14.5,43.4,6.3,0.4,1198,161,
9/29/2020,55.6,13.1,40.2,4.6,-1.2,1196.9,162,
9/30/2020,59.1,15.1,41.6,5.3,0.2,1197.1,163,
10/1/2020,56.9,13.8,41.2,5.1,-0.5,1196.5,164,
10/2/2020,50.5,10.3,28.5,-1.9,-5.8,1190.7,165,
10/3/2020,52.2,11.2,35.5,1.9,-3.4,1187.3,166,
10/4/2020,52.3,11.3,28.4,-2,-5.4,1181.9,167,
10/5/2020,62.2,16.8,27.5,-2.5,-2.9,1179.1,168,
10/6/2020,73.2,22.9,40.3,4.6,3.8,1182.8,169,
10/7/2020,70.6,21.4,38.2,3.4,2.4,1185.2,170,
10/8/2020,66.7,19.3,34.6,1.4,0.4,1185.6,171,
10/9/2020,79.7,26.5,45.7,7.6,7.1,1192.7,172,
10/10/2020,70.4,21.3,42.9,6.1,3.7,1196.4,173,
10/11/2020,64.3,17.9,41.1,5.1,1.5,1197.9,174,
10/12/2020,63.6,17.6,42,5.6,1.6,1199.4,175,
10/13/2020,65.3,18.5,36.1,2.3,0.4,1199.8,176,
10/14/2020,65.9,18.8,35.7,2.1,0.4,1200.2,177,
10/15/2020,53.6,12,29.6,-1.3,-4.7,1195.6,178,<HARVEST
10/16/2020,52.5,11.4,27.5,-2.5,-5.6,1190,179,
10/17/2020,60.7,15.9,27.9,-2.3,-3.2,1186.9,180,
10/18/2020,54,12.2,30.8,-0.7,-4.2,1182.6,181,
10/19/2020,35.2,1.8,22,-5.6,-11.9,1170.7,182,
10/20/2020,46.1,7.8,23.7,-4.6,-8.4,1162.4,183,
10/21/2020,53.4,11.9,37.5,3.1,-2.5,1159.8,184,
10/22/2020,45.7,7.6,36.6,2.6,-4.9,1154.9,185,
10/23/2020,40.4,4.7,33.6,0.9,-7.2,1147.7,186,
10/24/2020,39.7,4.3,30.1,-1.1,-8.4,1139.3,187,
10/25/2020,35,1.7,29.1,-1.6,-10,1129.3,188,
10/26/2020,35.4,1.9,24.3,-4.3,-11.2,1118.1,189,
10/27/2020,39.9,4.4,23.8,-4.6,-10.1,1108.1,190,
10/28/2020,54.2,12.3,22.6,-5.2,-6.4,1101.6,191,
10/29/2020,40.9,4.9,31,-0.6,-7.8,1093.8,192,
10/30/2020,41.2,5.1,22.9,-5.1,-10,1083.8,193,
10/31/2020,57.9,14.4,23.8,-4.6,-5.1,1078.7,194,
