Date,MaxT F,MaxT C,MinT F,MinT C,GDD C,Accumulation,Days
6/22/2019,77.6,25.3,52.4,11.3,8.33,226.6,31
6/23/2019,77.8,25.4,60.7,15.9,10.69,237.2,32
6/24/2019,75,23.9,60.2,15.7,9.78,247,33
6/25/2019,80,26.7,54,12.2,9.44,256.5,34
6/26/2019,82.5,28.1,57.9,14.4,11.22,267.7,35
6/27/2019,86.8,30.4,58.6,14.8,12.61,280.3,36
6/28/2019,81.8,27.7,62.7,17.1,12.36,292.7,37
6/29/2019,88.9,31.6,65.8,18.8,15.19,307.8,38
6/30/2019,81.4,27.4,64.6,18.1,12.78,320.6,39
7/1/2019,85.2,29.6,62.2,16.8,13.17,333.8,40
7/2/2019,88.4,31.3,68.6,20.3,15.83,349.6,41
7/3/2019,85.9,29.9,67.8,19.9,14.92,364.5,42
7/4/2019,86.2,30.1,66.4,19.1,14.61,379.2,43
7/5/2019,84.2,29,67.2,19.6,14.28,393.4,44
7/6/2019,77.1,25.1,61.5,16.4,10.72,404.2,45
7/7/2019,79.4,26.3,55.6,13.1,9.72,413.9,46
7/8/2019,82.8,28.2,56.3,13.5,10.86,424.7,47
7/9/2019,84.6,29.2,55.5,13.1,11.14,435.9,48
7/10/2019,86.3,30.2,66.9,19.4,14.78,450.7,49
7/11/2019,80.7,27.1,57.9,14.4,10.72,461.4,50
7/12/2019,83.9,28.8,52.2,11.2,10.03,471.4,51
7/13/2019,86.8,30.4,65.4,18.6,14.5,485.9,52
7/14/2019,87.6,30.9,60.7,15.9,13.42,499.3,53
7/15/2019,86.6,30.3,68,20,15.17,514.5,54
7/16/2019,89.1,31.7,66.4,19.1,15.42,529.9,55
7/17/2019,88.1,31.2,67,19.4,15.31,545.2,56
7/18/2019,84.9,29.4,67.9,19.9,14.67,559.9,57
7/19/2019,91.7,33.2,66.9,19.4,16.28,576.2,58
7/20/2019,87.7,30.9,66,18.9,14.92,591.1,59
7/21/2019,80,26.7,63.6,17.6,12.11,603.2,60
7/22/2019,74.7,23.7,58.9,14.9,9.33,612.5,61
7/23/2019,78.3,25.7,56.5,13.6,9.67,622.2,62
7/24/2019,82.1,27.8,54.2,12.3,10.08,632.3,63
7/25/2019,82.5,28.1,59,15,11.53,643.8,64
7/26/2019,80.9,27.2,62.7,17.1,12.11,655.9,65
7/27/2019,84.1,28.9,67.3,19.6,14.28,670.2,66
7/28/2019,85.8,29.9,61.2,16.2,13.06,683.3,67
7/29/2019,80.9,27.2,64.2,17.9,12.53,695.8,68
7/30/2019,74.4,23.6,59.9,15.5,9.53,705.3,69
7/31/2019,77.7,25.4,48.5,9.2,7.28,712.6,70
8/1/2019,79.8,26.6,48.8,9.3,7.94,720.5,71
8/2/2019,83.6,28.7,51.5,10.8,9.75,730.3,72
8/3/2019,84.8,29.3,59.4,15.2,12.28,742.6,73
8/4/2019,85.3,29.6,60.7,15.9,12.78,755.4,74
8/5/2019,83.9,28.8,61.4,16.3,12.58,767.9,75
8/6/2019,80.9,27.2,61.3,16.3,11.72,779.7,76
8/7/2019,82.6,28.1,58.2,14.6,11.33,791,77
8/8/2019,75.6,24.2,56,13.3,8.78,799.8,78
8/9/2019,75.5,24.2,49.9,9.9,7.06,806.8,79
8/10/2019,78.5,25.8,55.1,12.8,9.33,816.2,80
8/11/2019,75.6,24.2,63,17.2,10.72,826.9,81
8/12/2019,76.8,24.9,60.5,15.8,10.36,837.2,82
8/13/2019,80,26.7,61.6,16.4,11.56,848.8,83
8/14/2019,69.2,20.7,60,15.6,8.11,856.9,84
8/15/2019,76.9,24.9,52.3,11.3,8.11,865,85
8/16/2019,79.2,26.2,54.9,12.7,9.47,874.5,86
8/17/2019,80.7,27.1,53.7,12.1,9.56,884,87
8/18/2019,75.8,24.3,61.4,16.3,10.33,894.4,88
8/19/2019,80.7,27.1,56.6,13.7,10.36,904.7,89
8/20/2019,83.5,28.6,54.9,12.7,10.67,915.4,90
8/21/2019,75.8,24.3,57.4,14.1,9.22,924.6,91
8/22/2019,76.6,24.8,50.1,10.1,7.42,932,92
8/23/2019,73.5,23.1,50.2,10.1,6.58,938.6,93
8/24/2019,74.8,23.8,45.3,7.4,5.58,944.2,94
8/25/2019,74.3,23.5,48.3,9.1,6.28,950.5,95
8/26/2019,67.9,19.9,60.5,15.8,7.89,958.4,96
8/27/2019,76.3,24.6,52.8,11.6,8.08,966.5,97
8/28/2019,72.5,22.5,55.8,13.2,7.86,974.3,98
8/29/2019,81.3,27.4,51.2,10.7,9.03,983.3,99
8/30/2019,72.4,22.4,53.1,11.7,7.08,990.4,100
8/31/2019,68.9,20.5,49.2,9.6,5.03,995.5,101
9/1/2019,76,24.4,54.2,12.3,8.39,1003.8,102
9/2/2019,80.7,27.1,60.9,16.1,11.56,1015.4,103
9/3/2019,80.6,27,63.5,17.5,12.25,1027.7,104
9/4/2019,64,17.8,51.7,10.9,4.36,1032,105
9/5/2019,72.2,22.3,49,9.4,5.89,1037.9,106
9/6/2019,71.4,21.9,55.9,13.3,7.58,1045.5,107
9/7/2019,70.6,21.4,52.6,11.4,6.44,1051.9,108
9/8/2019,63.8,17.7,55.4,13,5.33,1057.3,109
9/9/2019,68.2,20.1,56.2,13.4,6.78,1064,110
9/10/2019,80.4,26.9,65.6,18.7,12.78,1076.8,111
9/11/2019,80.7,27.1,60.8,16,11.53,1088.3,112
9/12/2019,68.8,20.4,59.5,15.3,7.86,1096.2,113
9/13/2019,68.1,20.1,57.4,14.1,7.08,1103.3,114
9/14/2019,75,23.9,49.8,9.9,6.89,1110.2,115
9/15/2019,72.7,22.6,62,16.7,9.64,1119.8,116
9/16/2019,81.6,27.6,61.3,16.3,11.92,1131.7,117
9/17/2019,78.1,25.6,59.6,15.3,10.47,1142.2,118
9/18/2019,80,26.7,60.9,16.1,11.36,1153.6,119
9/19/2019,73.7,23.2,63.9,17.7,10.44,1164,120
9/20/2019,81.2,27.3,60.8,16,11.67,1175.7,121
9/21/2019,73.9,23.3,68.8,20.4,11.86,1187.5,122
9/22/2019,72.6,22.6,60.1,15.6,9.08,1196.6,123
9/23/2019,73.1,22.8,52.1,11.2,7,1203.6,124
9/24/2019,81.1,27.3,52.4,11.3,9.31,1212.9,125
9/25/2019,73.9,23.3,58.5,14.7,9,1221.9,126
9/26/2019,68.6,20.3,49.2,9.6,4.94,1226.9,127
9/27/2019,63.6,17.6,57.9,14.4,5.97,1232.8,128
9/28/2019,63.7,17.6,51.7,10.9,4.28,1237.1,129
9/29/2019,60.2,15.7,51,10.6,3.11,1240.2,130
9/30/2019,84.6,29.2,60.6,15.9,12.56,1252.8,131
10/1/2019,74.9,23.8,61.1,16.2,10,1262.8,132
10/2/2019,58.9,14.9,51.4,10.8,2.86,1265.6,133
10/3/2019,56.2,13.4,46.2,7.9,0.67,1266.3,134
10/4/2019,52.9,11.6,43.5,6.4,-1,1265.3,135
10/5/2019,56.1,13.4,45.2,7.3,0.36,1265.7,136
10/6/2019,63.1,17.3,44.3,6.8,2.06,1267.7,137
10/7/2019,65.1,18.4,42.8,6,2.19,1269.9,138
10/8/2019,68.5,20.3,34.4,1.3,0.81,1270.7,139
10/9/2019,70.4,21.3,37.3,2.9,2.14,1272.9,140
10/10/2019,69.7,20.9,47.7,8.7,4.83,1277.7,141
10/11/2019,64,17.8,35.4,1.9,-0.17,1277.5,142
10/12/2019,46.9,8.3,29.2,-1.6,-6.64,1270.9,143
10/13/2019,41.3,5.2,32.6,0.3,-7.25,1263.6,144
10/14/2019,51.1,10.6,29.9,-1.2,-5.28,1258.4,145
10/15/2019,58.4,14.7,31.6,-0.2,-2.78,1255.6,146
10/16/2019,52.1,11.2,36.9,2.7,-3.06,1252.5,147
10/17/2019,50.4,10.2,29.9,-1.2,-5.47,1247.1,148
10/18/2019,59.6,15.3,29.1,-1.6,-3.14,1243.9,149
10/19/2019,61.4,16.3,45,7.2,1.78,1245.7,150
10/20/2019,64.9,18.3,44.8,7.1,2.69,1248.4,151
10/21/2019,63.9,17.7,45.6,7.6,2.64,1251,152
10/22/2019,49.4,9.7,41.2,5.1,-2.61,1248.4,153
10/23/2019,54.9,12.7,34.4,1.3,-2.97,1245.4,154
10/24/2019,45,7.2,26.1,-3.3,-8.03,1237.4,155
10/25/2019,48.6,9.2,22,-5.6,-8.17,1229.2,156
10/26/2019,47.1,8.4,24.1,-4.4,-8,1221.2,157
10/27/2019,59.3,15.2,30.9,-0.6,-2.72,1218.5,158
10/28/2019,42.2,5.7,29.9,-1.2,-7.75,1210.8,159
10/29/2019,38.8,3.8,22,-5.6,-10.89,1199.9,160
10/30/2019,34.2,1.2,21.5,-5.8,-12.31,1187.6,161
10/31/2019,31.1,-0.5,11.4,-11.4,-15.97,1171.6,162
